Chapter;1
わたし;わたし;Ich
あなた;あなた;Sie
あの人;あのひと;Er, Sie, Es
あの方;あのかた;Er, Sie, Es(höfl.)
～さん;～さん;Herr, Frau
～ちゃん;～ちゃん;Kind-Endung
～人;～じん;Mensch von～
先生;せんせい;Lehrer
教師;きょうし;Lehrer (Arbeit)
学生;がくせい;Student
会社員;かいしゃいん;Angestellter
社員;しゃいん;Angestellter einer Firma
銀行員;ぎんこういん;Bankangestellter
医者;いしゃ;Arzt
研究者;けんきゅうしゃ;Forscher
大学;だいがく;Universität
病院;びょういん;Krankenhaus
だれ;だれ;Wer
どなた;どなた;Wer(höfl.)
～歳;～さい;~Jahre alt
何歳;なんさい;Wie alt
おいくつ;おいくつ;Wie alt(höfl.)
はい;はい;Ja
いいえ;いいえ;Nein
失礼ですが;しつれいですが;Entschuldigen Sie bitte, aber..
お名前は;おなまえは;Wie ist ihr Name, bitte?
初めまして;はじめまして;Ich sehe Sie zum ersten Mal.
どうぞよろしく（お願いします）;どうぞよろしく（おねがいします）;Seien Sie bitte freundlich zu mir.
こちらは～さんです;こちらは～さんです;Das ist Herr/Frau.
～から来ました;～からきました;Ich komme aus～
アメキカ;アメリカ;Amerika
イギリス;イギリス;England
インド;インド;Indien
インドネシア;インドネシア;Indonesien
韓国;かんこく;Süd Korea
タイ;タイ;Thailand
中国;ちゅうごく;China
ドイツ;ドイツ;Deutschland
日本;にほん;Japan
フランス;フランス;Frankreich
ブラジル;ブラジル;Brasilien

Chapter;2
これ;これ;diese/-r/-s(hier)
それ;それ;diese/-r/-s(dort)
あれ;あれ;jene/-r/-s(da)
この～;この～;diese/-r/-s(hier)
その～;その～;diese/-r/-s(dort)
あの～;あの～;jene/-r/-s(da)
本;ほん;Buch
辞書;じしょ;Wörterbuch
雑誌;ざっし;Zeitschrift
新聞;しんぶん;Zeitung
ノート;ノート;Heft
手帳;てちょう;Notizbuch
名刺;めいし;Visitenkarte
カード;カード;Karte
鉛筆;えんぴつ;Bleistift
ボールペン;ボールペン;Kugelschreiber
シャップペンシル;シャップペンシル;Drehbleistift
かぎ;かぎ;Schlüssel
時計;とけい;Uhr
傘;かさ;Regenschirm
かばん;かばん;Tasche
テレビ;テレビ;Fernseher
ラジオ;ラジオ;Radio
カメラ;カメラ;Kamera
コンピューター;コンピューター;Computer
自動車;じどうしゃ;Auto, Wagen
机;つくえ;Schreibtisch
いす;いす;Stuhl
チョコレート;チョコレート;Schokolade
コーヒー;コーヒー;Kaffe
英語;えいご;Englisch
日本語;にほんご;Japanisch
～語;～ご;~Sprache
何;なん;was
そう;そう;so
あのう;あのう;Äh...
どうぞ;どうぞ;Bitte schön!
どうもありがとうございます;どうもありがとございます;Vielen Dank!
そうですか;そうですか;Ach so. Ich verstehe.
違います;ちがいます;Nein, ist es nicht.
これからお世話になります;これからおせわになります;Vielen Dank im Voraus für Ihre Hilfe!
こちらこそよろしく;こちらこそよろしく;Ganz meinerseits.

Chapter;3
ここ;ここ;hier
そこ;そこ;bei dir(da)
あそこ;あそこ;dort drüben
どこ;どこ;wo
こちら;こちら;hierhin, hier(höfl.)
そちら;そちら;dahin, da(höfl.)
あちら;あちら;dorthin, dort(höfl.)
どちら;どちら;wohin, wo(höfl.)
教室;きょうしつ;Unterrichtsraum
食堂;しょくどう;Speisesaal, Kantine
事務所;じむしょ;Büro
会議室;かいぎしつ;Konferenzraum
受付;うけつけ;Rezeption
ロビー;ロビー;Lobby
部屋;へや;Zimmer, Raum
トイレ;トイレ;Toilette, WC
お手洗い;おてあらい;Toilette, WC
階段;かいだん;Treppe
エレベーター;エレベーター;Aufzug
エスカレーター;エスカレーター;Rolltreppe
[お]国;[お]くに;Ihr Land
会社;かいしゃ;Firma
うち;うち;Haus
靴;くつ;Schuhe
ネクタイ;ネクタイ;Krawatte
ワイン;ワイン;Wein
売り場;うりば;Verkaufsabteilung
地下;ちか;Untergeschoss
～階;～かい; ~te Etage
何階;なんがい;welche Etage
～円;～えん;~Yen
いくら;いくら;wie viel
百;ひゃく;Hundert
千;せん;Tausend
万;まん;Zehntausend
